,STation,Borough,,,,,,,,
,NEW LOTS AV,Brooklyn,,,,,,,,
,NEW UTRECHT AV,Brooklyn,,,,,,,,
,NEWKIRK AV,Brooklyn,,,,,,,,
,NEWKIRK PLAZA,Brooklyn,,,,,,,,
,NORWOOD AV,Brooklyn,,,,,,,,
,NOSTRAND AV,Brooklyn,,,,,,,,
,OCEAN PKWY,Brooklyn,,,,,,,,
,PARK PLACE,Brooklyn,,,,,,,,
,PARKSIDE AV,Brooklyn,,,,,,,,
,PENNSYLVANIA AV,Brooklyn,,,,,,,,
,PRESIDENT ST,Brooklyn,,,,,,,,
,PROSPECT AV,Brooklyn,,,,,,,,
,PROSPECT PARK,Brooklyn,,,,,,,,
,RALPH AV,Brooklyn,,,,,,,,
,ROCKAWAY AV,Brooklyn,,,,,,,,
,SARATOGA AV,Brooklyn,,,,,,,,
,SHEEPSHEAD BAY,Brooklyn,,,,,,,,
,SHEPHERD AV,Brooklyn,,,,,,,,
,SMITH-9 ST,Brooklyn,,,,,,,,
,STERLING ST,Brooklyn,,,,,,,,
,SUTTER AV,Brooklyn,,,,,,,,
,SUTTER AV-RUTLD,Brooklyn,,,,,,,,
,UNION ST,Brooklyn,,,,,,,,
,UTICA AV,Brooklyn,,,,,,,,
,VAN SICLEN AV,Brooklyn,,,,,,,,
,VAN SICLEN AVE,Brooklyn,,,,,,,,
,W 8 ST-AQUARIUM,Brooklyn,,,,,,,,
,WILSON AV,Brooklyn,,,,,,,,
,WINTHROP ST,Brooklyn,,,,,,,,
,YORK ST,Brooklyn,,,,,,,,
,9TH STREET,Manhattan,,,,,,,,
,1 AV,Manhattan,,,,,,,,
,RIT-MANHATTAN,Manhattan,,,,,,,,
,103 ST,Manhattan,,,,,,,,
,42 ST-PORT AUTH,Manhattan,,,,,,,,
,110 ST,Manhattan,,,,,,,,
,116 ST,Manhattan,,,,,,,,
,COLUMBIA,Manhattan,,,,,,,,
,125 ST,Manhattan,,,,,,,,
,135 ST,Manhattan,,,,,,,,
,137 ST CITY COL,Manhattan,,,,,,,,
,14TH STREET,Manhattan,,,,,,,,
,14 ST,Manhattan,,,,,,,,
,6 AV,Manhattan,,,,,,,,
,WORLD TRADE CTR,Manhattan,,,,,,,,
,34 ST-PENN STA,Man,,,,,,,,
,14 ST-UNION SQ,Manhattan,,,,,,,,
,145 ST,Manhattan,,,,,,,,
,155 ST,Manhattan,,,,,,,,
,157 ST,Manhattan,,,,,,,,
,163 ST-AMSTERDM,Manhattan,,,,,,,,
,168 ST,Manhattan,,,,,,,,
,175 ST,Manhattan,,,,,,,,
,18 ST,Manhattan,,,,,,,,
,181 ST,Manhattan,,,,,,,,
,190 ST,Manhattan,,,,,,,,
,191 ST,Manhattan,,,,,,,,
,2 AV,Manhattan,,,,,,,,
,207 ST,Manhattan,,,,,,,,
,215 ST,Manhattan,,,,,,,,
,TWENTY THIRD ST,Manhattan,,,,,,,,
,28 ST,Manhattan,,,,,,,,
,3 AV,Manhattan,,,,,,,,
,33 ST,Manhattan,,,,,,,,
,34 ST-HERALD SQ,Manhattan,,,,,,,,
,34 ST-HUDSON YD,Manhattan,,,,,,,,
,34 ST-PENN STA,Manhattan,,,,,,,,
,42 ST-BRYANT PK,Manhattan,,,,,,,,
,47-50 STS ROCK,Manhattan,,,,,,,,
,49 ST,Manhattan,,,,,,,,
,5 AV/53 ST,Manhattan,,,,,,,,
,5 AV/59 ST,Manhattan,,,,,,,,
,50 ST,Manhattan,,,,,,,,
,57 ST,Manhattan,,,,,,,,
,57 ST-7 AV,Manhattan,,,,,,,,
,59 ST COLUMBUS,Manhattan,,,,,,,,
,66 ST-LINCOLN,Manhattan,,,,,,,,
,68ST-HUNTER CO,Manhattan,,,,,,,,
,7 Av,Manhattan,,,,,,,,
,72 ST,Manhattan,,,,,,,,
,72 ST-2 AVE,Manhattan,,,,,,,,
,77 ST,Manhattan,,,,,,,,
,79 ST,Manhattan,,,,,,,,
,8 ST-NYU,Manhattan,,,,,,,,
,81 ST-MUSEUM,Manhattan,,,,,,,,
,86 ST-2 AVE,Manhattan,,,,,,,,
,96 ST-2 AVE,Manhattan,,,,,,,,
,ASTOR PL,Manhattan,,,,,,,,
,BOWERY,Manhattan,,,,,,,,
,BOWLING GREEN,Manhattan,,,,,,,,
,BROAD ST,Manhattan,,,,,,,,
,BWAY-LAFAYETTE,Manhattan,,,,,,,,
,BROOKLYN BRIDGE,Manhattan,,,,,,,,
,CANAL ST,Manhattan,,,,,,,,
,CATHEDRAL PKWY,Manhattan,,,,,,,,
,CENTRAL PK N110,Manhattan,,,,,,,,
,CHAMBERS ST,Manhattan,,,,,,,,
,CHRISTOPHER ST,Manhattan,,,,,,,,
,CITY HALL,Manhattan,,,,,,,,
,DELANCEY/ESSEX,Manhattan,,,,,,,,
,DYCKMAN ST,Manhattan,,,,,,,,
,EAST BROADWAY,Manhattan,,,,,,,,
,FRANKLIN ST,Manhattan,,,,,,,,
,FULTON ST,Manhattan,,,,,,,,
,GRD CNTRL-42 ST,Manhattan,,,,,,,,
,GRAND ST,Manhattan,,,,,,,,
,HARLEM 148 ST,Manhattan,,,,,,,,
,HOUSTON ST,Manhattan,,,,,,,,
,INWOOD-207 ST,Manhattan,,,,,,,,
,Lexington Av /59 ST,Manhattan,,,,,,,,
,LEXINGTON AV/53,Manhattan,,,,,,,,
,LEXINGTON AV/63,Manhattan,,,,,,,,
,MARBLE HILL-225,Manhattan,,,,,,,,
,PRINCE ST,Manhattan,,,,,,,,
,RECTOR ST,Manhattan,,,,,,,,
,ROOSEVELT ISLND,Manhattan,,,,,,,,
,WHITEHALL S-FRY,Manhattan,,,,,,,,
,SPRING ST,Manhattan,,,,,,,,
,SOUTH FERRY,Manhattan,,,,,,,,
,TIMES SQ-42 ST,Manhattan,,,,,,,,
,WALL ST,Manhattan,,,,,,,,
,W 4 ST-WASH SQ,Manhattan,,,,,,,,
,103 ST-CORONA,Manhattan,,,,,,,,
,WTC-CORTLANDT,Manhattan,,,,,,,,
,RIT-ROOSEVELT,Manhattan,,,,,,,,
,CORTLANDT ST,Queens,,,,,,,,
,104 ST,Queens,,,,,,,,
,111 ST,Queens,,,,,,,,
,121 ST,Queens,,,,,,,,
,169 ST,Queens,,,,,,,,
,21 ST,Queens,,,,,,,,
,21 ST-QNSBRIDGE,Queens,,,,,,,,
,30 AV,Queens,,,,,,,,
,33 ST-RAWSON ST,Queens,,,,,,,,
,36 AV,Queens,,,,,,,,
,36 ST - IND,Queens,,,,,,,,
,39 AV,Queens,,,,,,,,
,40 ST LOWERY ST,Queens,,,,,,,,
,46 ST,Queens,,,,,,,,
,46 ST BLISS ST,Queens,,,,,,,,
,52 ST,Queens,,,,,,,,
,63 DR-REGO PARK,Queens,,,,,,,,
,65 ST,Queens,,,,,,,,
,67 AV,Queens,,,,,,,,
,69 ST,Queens,,,,,,,,
,JKSN HT-ROOSVLT,Queens,,,,,,,,
,75 AV,Queens,,,,,,,,
,75 ST-ELDERTS,Queens,,,,,,,,
,80 ST,Queens,,,,,,,,
,82 ST-JACKSON H,Queens,,,,,,,,
,85 ST-FOREST PK,Queens,,,,,,,,
,88 ST,Queens,,,,,,,,
,90 ST-ELMHURST,Queens,,,,,,,,
,AQUEDUCT RACETR,Queens,,,,,,,,
,AQUEDUCT N.COND,Queens,,,,,,,,
,ASTORIA BLVD,Queens,,,,,,,,
,ASTORIA DITMARS,Queens,,,,,,,,
,BEACH 105 ST,Queens,,,,,,,,
,BEACH 25 ST,Queens,,,,,,,,
,BEACH 36 ST,Queens,,,,,,,,
,BEACH 44 ST,Queens,,,,,,,,
,BEACH 60 ST,Queens,,,,,,,,
,67 ST,Queens,,,,,,,,
,BEACH 90 ST,Queens,,,,,,,,
,BEACH 98 ST,Queens,,,,,,,,
,BRIARWOOD,Queens,,,,,,,,
,BROAD CHANNEL,Queens,,,,,,,,
,74 ST-BROADWAY,Queens,,,,,,,,
,COURT SQ,Queens,,,,,,,,
,ELMHURST AV,Queens,,,,,,,,
,FAR ROCKAWAY,Queens,,,,,,,,
,FLUSHING-MAIN,Queens,,,,,,,,
,FOREST AVE,Queens,,,,,,,,
,FOREST HILLS 71,Queens,,,,,,,,
,FRESH POND RD,Queens,,,,,,,,
,GRAND-NEWTOWN,Queens,,,,,,,,
,HOWARD BCH JFK,Queens,,,,,,,,
,HUNTERS PT AV,Queens,,,,,,,,
,JAMAICA CENTER,Queens,,,,,,,,
,JAMAICA 179 ST,Queens,,,,,,,,
,JAMAICA VAN WK,Queens,,,,,,,,
,JFK JAMAICA CT1,Queens,,,,,,,,
,JUNCTION BLVD,Queens,,,,,,,,
,KEW GARDENS,Queens,,,,,,,,
,METS-WILLETS PT,Queens,,,,,,,,
,NORTHERN BLVD,Queens,,,,,,,,
,METROPOLITAN AV,Queens,,,,,,,,
,OZONE PK LEFFRT,Queens,,,,,,,,
,PARSONS BLVD,Queens,,,,,,,,
,QUEENS PLAZA,Queens,,,,,,,,
,QUEENSBORO PLZ,Queens,,,,,,,,
,ROCKAWAY BLVD,Queens,,,,,,,,
,ROCKAWAY PARK B,Queens,,,,,,,,
,SENECA AVE,Queens,,,,,,,,
,STEINWAY ST,Queens,,,,,,,,
,SUTPHIN BLVD,Queens,,,,,,,,
,SUTPHIN-ARCHER,Queens,,,,,,,,
,VERNON-JACKSON,Queens,,,,,,,,
,WOODHAVEN BLVD,Queens,,,,,,,,
,61 ST WOODSIDE,Queens,,,,,,,,
,TOMPKINSVILLE,Staten Island,,,,,,,,
,ST. GEORGE,Staten Island,,,,,,,,
,NEWARK HW BMEBE,Newark,,,,,,,,
,HARRISON,Harrison,,,,,,,,
,JOURNAL SQUARE,Jersey City,,,,,,,,
,GROVE STREET,Jersey City,,,,,,,,
,EXCHANGE PLACE,Jersey City,,,,,,,,
,PAVONIA/NEWPORT,Jersey City,,,,,,,,
,CITY / BUS,Unknown,,,,,,,,
,LACKAWANNA,Hoboken,,,,,,,,
,THIRTY ST,Unknown,,,,,,,,
,THIRTY THIRD ST,Manhattan,,,,,,,,
,NEWARK BM BW,Newark,,,,,,,,
, NEWARK C,Newark,,,,,,,,
,NEWARK HM HE,Newark,,,,,,,,
,PATH WTC 2,Manhattan,,,,,,,,
,PATH NEW WTC,Manhattan,,,,,,,,
,BLEECKER ST,Manhattan,,,,,,,,
,51 ST,Manhattan,,,,,,,,
,5 AVE,Manhattan,,,,,,,,
